GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
2024 04 13 16 51 54.4173451,G32,21450018.34927,-1283.95727,43.80027,21447663.48025,-958.80025
2024 04 13 16 51 54.4173451,C43,22348381.52627,1720.45127,41.70027,22346500.62826,1296.20026
2024 04 13 16 51 54.4173451,C42,21860698.94128,382.74628,50.30028,21858815.34525,288.35025
2024 04 13 16 51 54.4173451,C39,38996129.23025,769.08625,34.70025,38994243.83525,579.35025
2024 04 13 16 51 54.4173451,C34,21742584.91027,-1090.86027,43.00027,21740694.41925,-822.00025
2024 04 13 16 51 54.4173451,C33,25059008.09826,2639.15026,35.70026,25057140.39125,1989.89025
2024 04 13 16 51 54.4173451,C21,23418089.88227,-2045.12727,46.50027,23416198.19125,-1541.85025
2024 04 13 16 51 54.4173451,E10,25669768.67727,2192.85327,42.50027,25667856.90126,1637.39526
2024 04 13 16 51 54.4173451,E12,24346680.53226,1496.60026,35.60026,24344770.55425,1118.50025
2024 04 13 16 51 54.4173451,E24,28323555.79826,-1741.69926,40.50026,28321656.91325,-1301.55025
2024 04 13 16 51 54.4173451,E33,24344927.34626,-673.62726,36.70026,24343020.66625,-503.80025
2024 04 13 16 51 55.4173452,G03,24049946.36427,2619.23127,45.50027,24047602.88626,1956.02626
2024 04 13 16 51 55.4173452,G08,21137509.40228,-910.94528,50.30028,21135157.23026,-680.11326
2024 04 13 16 51 55.4173452,G10,22796007.74726,-1898.08526,38.30026,22793652.87824,-1417.35024
2024 04 13 16 51 55.4173452,G27,22153434.09227,-2839.81127,45.30027,22151078.62326,-2120.46526
2024 04 13 16 51 55.4173452,G28,23871982.36626,2651.32526,39.80026,23869636.19024,1978.45024
2024 04 13 16 51 55.4173452,G32,21450290.66827,-1282.09127,44.00027,21447936.09825,-957.33625
2024 04 13 16 51 55.4173452,C43,22348080.94126,1722.39926,40.50026,22346199.74326,1297.99226
2024 04 13 16 51 55.4173452,C42,21860655.57828,384.65328,51.50028,21858772.28225,289.90625
2024 04 13 16 51 55.4173452,C39,38996007.62125,770.48625,34.90025,38994127.02325,580.78725
2024 04 13 16 51 55.4173452,C34,21742819.75427,-1088.92127,44.80027,21740933.46025,-820.62125
2024 04 13 16 51 55.4173452,C33,25058529.13626,2642.46926,38.20026,25056662.32925,1991.34825
2024 04 13 16 51 55.4173452,C21,23418510.29828,-2043.21128,48.00028,23416620.40626,-1539.82626
2024 04 13 16 51 55.4173452,E10,25669379.95327,2194.77127,44.10027,25667471.47425,1638.88025
2024 04 13 16 51 55.4173452,E12,24346423.41726,1499.24126,37.10026,24344516.43725,1119.40925
2024 04 13 16 51 55.4173452,E24,28323915.35727,-1740.03127,41.60027,28322019.16925,-1299.45425
2024 04 13 16 51 55.4173452,E33,24345082.74526,-671.68226,38.90026,24343175.76525,-501.67925
